Title,ADX Keywords,Abstract
"Texas Couple Fed Smoothies to Injured Daughter Who Later Died, Police Say",Sheriffs;Deaths (Fatalities);Parenting;Education (K-12);San Antonio (Tex),"Miranda Sipps, 12, suffered for four days before dying while her mother and her boyfriend failed to seek medical treatment for her, the authorities said. Both are charged with a felony."
"Trump Made $300,000 for Endorsing Bible, Financial Disclosure Shows","United States Politics and Government;Presidential Election of 2024;Bible;Royalties;Nonfungible Tokens (NFTs);Trump, Donald J;Trump, Melania","Donald J. Trump also listed $100 million in liabilities over judgments he owes in civil cases, and over $1 million in crypto holdings as he courts the industry for his campaign."
Trump Is No Longer Even Pretending to Champion the Working Class,"Conservatism (US Politics);Presidential Election of 2024;United States Politics and Government;Labor and Jobs;Organized Labor;Antitrust Laws and Competition Issues;United States Economy;High Net Worth Individuals;Trump, Donald J",He’s always longed for the approval of oligarchs.
Burning Man Has Sold Out Since 2011. Why Not This Year?,Coronavirus (2019-nCoV);Two Thousand Twenty Three;Festivals;Burning Man Festival;Box Office Sales;Conservation of Resources;Deserts;Shutdowns (Institutional);Rain;Temperature;Finances;Coachella Valley Music and Arts Festival;Reno (Nev);Nevada;Washoe County (Nev);San Francisco (Calif),"The desert arts festival returns this month after two consecutive years of challenging weather, including mud that stranded attendees, and a Covid-19 hiatus."
Unusual Origin Found for Asteroid That Killed the Dinosaurs,Asteroids;Dinosaurs;Space and Astronomy;Jupiter (Planet);Solar System;Research;Science (Journal),A study adds strong evidence to the hypothesis that the deadly rock came from a family of objects that originally formed well beyond the orbit of the planet Jupiter.
Florida Woman Found Guilty of Manslaughter in Fatal Shooting of Black Neighbor,"Black Lives Matter Movement;Civil Rights and Liberties;Murders, Attempted Murders and Homicides;Race and Ethnicity;Owens, Ajike (1988-2023);Lorincz, Susan Louise;Crump, Benjamin L;Florida;Marion County (Fla);Ocala (Fla)","Susan Lorincz, who is white, shot Ajike Owens last June through the door of her home as the 35-year-old mother of four stood outside. The case prompted national outrage."
Harris and Trump Offer a Clear Contrast on the Economy,"Presidential Election of 2024;United States Economy;United States Politics and Government;Taxation;Prices (Fares, Fees and Rates);Inflation (Economics);Price Gouging;Affordable Housing;Real Estate and Housing (Residential);Tax Credits, Deductions and Exemptions;Child Tax Credits and Stipends;Federal Aid (US);Harris, Kamala D;Trump, Donald J;Biden, Joseph R Jr",Both candidates embrace expansions of government power to steer economic outcomes — but in vastly different areas.
Matthew Perry’s Assistant and Doctors Charged With Getting Him Ketamine,"Ketamine (Drug);Psychedelic and Hallucinogenic Drugs;Drug Abuse and Traffic;Perry, Matthew;Plasencia, Salvador;Iwamasa, Kenneth;Sangha, Jasveen;Chavez, Mark;Fleming, Erik;Drug Enforcement Administration;Los Angeles (Calif)",Five people have been charged with a conspiracy to distribute the powerful anesthetic that led to the death of the “Friends” star. Three of them are pleading guilty.
From ‘Perfect Candidate’ to Sudden Exit: Inside the Fall of Columbia’s President,"Pro-Palestinian Campus Protests (2023- );Colleges and Universities;Israel-Gaza War (2023- );Shafik, Nemat;Columbia University","Nemat Shafik was vilified on almost all sides for her handling of the protests over the Israel-Hamas war. When given an offramp, she took it."
Is It Morning in Kamala Harris’s America?,"Presidential Election of 2024;Democratic National Convention;Inflation (Economics);United States Economy;Presidential Election of 1984;Biden, Joseph R Jr;Harris, Kamala D;Trump, Donald J;Republican Party",The good news may finally be breaking through to voters.
